,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,Description
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k," Certification course for cybersecurity professionals focusing on systems security practices and principles. Programming languages: Not specified, but may include scripting languages like Python for security analysis."
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,"Introduces the fundamentals of data science, covering key concepts and techniques for data analysis and modeling. Programming languages: Python, R, or both for data manipulation, analysis, and visualization."
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,Provides a non-technical overview of artificial intelligence concepts and applications for a general audience. No specific programming language is required for this course.
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,Explores the use of AI in medical treatments and healthcare applications to improve patient outcomes. Programming languages: Python or R for AI algorithms and data analysis.
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,A beginner-level course that introduces the foundational concepts of artificial intelligence and its real-world applications. No specific programming language is required for this course.
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,Focuses on using AI algorithms to diagnose medical conditions and interpret diagnostic images. Programming languages: Python for AI model development and image processing.
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,Covers the application of AI in predicting disease outcomes and patient prognosis. Programming languages: Python or R for AI algorithms and data analysis.
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,"Provides a comprehensive overview of AI's impact on various aspects of the medical field, from diagnosis to drug development. Programming languages: Python or R for AI applications in medicine."
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,"An introductory course on Amazon Web Services, covering core AWS services and cloud computing fundamentals. Programming languages: Not specified, but may include Python, Java, or other languages for interacting with AWS services."
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,Covers security best practices and risk management in the context of Amazon Web Services (AWS) cloud infrastructure.
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,Teaches how to design and build serverless applications on AWS using services like AWS Lambda and API Gateway.
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,Explores cloud-native architecture principles and how to leverage AWS services for building scalable and resilient applications.
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,Learn about AWS services and tools for migrating applications to the cloud.
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k, A comprehensive course covering various computer science concepts using Python.
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,Advanced data science topics and techniques using Python with IBM tools.
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,Dive into advanced machine learning algorithms and concepts with Python.
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,Explore advanced machine learning concepts using TensorFlow on Google Cloud Platform with Python.
